ResponseId,Country,ConvertedCompYearly,LanguageHaveWorkedWith,YearsCodePro,DevType,EdLevel,RemoteWork,OrgSize,Employment,lang_Python,lang_R,lang_Julia,lang_Java,lang_Kotlin,lang_Scala,lang_JavaScript,lang_TypeScript,lang_PHP,lang_C,lang_C++,lang_Rust,lang_C#,lang_Go,lang_Swift,HighSalary,SurveyYear
1,Ukraine,61256.0,Bash/Shell (all shells);Dart;SQL,8.0,"Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,20 to 99 employees,Employed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
2,Netherlands,104413.0,Java,2.0,"Developer, back-end","Associate degree (A.A., A.S., etc.)","Hybrid (some in-person, leans heavy to flexibility)",500 to 999 employees,Employed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2025
3,Ukraine,53061.0,Dart;HTML/CSS;JavaScript;TypeScript,10.0,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,,"Independent contractor, freelancer, or self-employed",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2025
4,Ukraine,36197.0,Java;Kotlin;SQL,4.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"10,000 or more employees",Employed,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2025
5,Ukraine,60000.0,C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),21.0,Engineering manager,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,,"Independent contractor, freelancer, or self-employed",1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,2025
6,Ukraine,120000.0,Java;Scala,15.0,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,,"Independent contractor, freelancer, or self-employed",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2025
7,Ukraine,6240.0,JavaScript;TypeScript,9.0,"Developer, full-stack",Some college/university study without earning a degree,,,"Independent contractor, freelancer, or self-employed",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2025
8,Ukraine,72000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,22.0,"Architect, software or solutions","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Remote,Less than 20 employees,Employed,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2025
9,Ukraine,70000.0,Java;Python;Scala,9.0,Data engineer,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"5,000 to 9,999 employees",Employed,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2025
11,Ukraine,65691.0,HTML/CSS;Java;JavaScript;SQL;TypeScript,7.0,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,100 to 499 employees,Employed,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2025
12,Ukraine,14400.0,C#,3.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,100 to 499 employees,Employed,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2025
13,Ukraine,1099.0,HTML/CSS;JavaScript;TypeScript,10.0,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,,"Independent contractor, freelancer, or self-employed",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2025
23,United States of America,87500.0,C#;C++;JavaScript;Python;Visual Basic (.Net),7.0,"Developer, full-stack",Some college/university study without earning a degree,Remote,100 to 499 employees,Employed,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2025
26,United Kingdom of Great Britain and Northern Ireland,108913.0,Bash/Shell (all shells);JavaScript;Perl;SQL;TypeScript,37.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,,"Independent contractor, freelancer, or self-employed",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2025
27,Ireland,162421.0,C#;JavaScript;PowerShell;TypeScript,26.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,,"Independent contractor, freelancer, or self-employed",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2025
28,Sweden,209643.0,C#;Java;Python;SQL,24.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)","1,000 to 4,999 employees",Employed,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2025
