language,feature,test_user_count,actual_high_salary_count,predicted_high_salary_count,actual_high_salary_rate,predicted_high_salary_rate,mean_predicted_probability,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision
JavaScript,lang_javascript,2918,1408,1466,0.48252227553118576,0.5023989033584647,0.4961534492391083,0.8252227553118574,0.8257045830824804,0.8062755798090041,0.8394886363636364,0.8225469728601252,0.8973509933774835,0.8791295401075531
Python,lang_python,2523,1273,1309,0.5045580657946889,0.5188267934998019,0.5062032862565095,0.8152992469282601,0.815153809897879,0.8082505729564553,0.8311076197957581,0.8195197521301317,0.8960458758837392,0.8913728820736165
TypeScript,lang_typescript,1976,1011,1054,0.5116396761133604,0.5334008097165992,0.5230737656277288,0.8183198380566802,0.8177144672847383,0.8092979127134725,0.8437190900098912,0.8261501210653753,0.8932170989580931,0.8849387651382297
Java,lang_java,1268,585,603,0.4613564668769716,0.4755520504731861,0.47978826653722817,0.8233438485804416,0.82338601694385,0.7993366500829188,0.8239316239316239,0.8114478114478114,0.9035877413622655,0.881681910883068
C#,lang_csharp,1244,595,612,0.4782958199356913,0.4919614147909968,0.48716844003335674,0.8239549839228296,0.8242169595110772,0.8071895424836601,0.8302521008403362,0.8185584092792046,0.9015291786976731,0.8881893232411436
C++,lang_cpp,891,407,419,0.4567901234567901,0.4702581369248036,0.4663301422305685,0.8092031425364759,0.808940138485593,0.7828162291169452,0.8058968058968059,0.7941888619854721,0.8825359920401243,0.8500592148260597
C,lang_c,797,361,368,0.45294855708908405,0.4617314930991217,0.4621900115051895,0.8155583437892095,0.8147443391191644,0.7907608695652174,0.8060941828254847,0.7983539094650206,0.8878306945538642,0.8542690439879603
PHP,lang_php,796,303,295,0.3806532663316583,0.3706030150753769,0.3860817945069133,0.8090452261306532,0.7949644863066428,0.7559322033898305,0.735973597359736,0.745819397993311,0.8818173906640157,0.8113353957300937
Go,lang_go,752,435,446,0.5784574468085106,0.5930851063829787,0.5733321743318572,0.8257978723404256,0.8190471010551506,0.8408071748878924,0.8620689655172413,0.8513053348467651,0.8873708256281954,0.8989471368547483
Rust,lang_rust,625,331,367,0.5296,0.5872,0.5577857159374309,0.7792,0.7750015414020592,0.7629427792915532,0.8459214501510574,0.8022922636103151,0.8627535606387571,0.8705073174807741
Kotlin,lang_kotlin,464,233,249,0.5021551724137931,0.5366379310344828,0.5244572955501765,0.8189655172413793,0.8188135183843339,0.7991967871485943,0.8540772532188842,0.8257261410788381,0.8929453950913178,0.8574321763663504
Swift,lang_swift,239,150,156,0.6276150627615062,0.6527196652719666,0.6250155422931655,0.8158995815899581,0.7962172284644194,0.8397435897435898,0.8733333333333333,0.8562091503267973,0.865318352059925,0.886512969757015
R,lang_r,197,98,96,0.49746192893401014,0.4873096446700508,0.4938557958910267,0.8375634517766497,0.8375077303648732,0.84375,0.826530612244898,0.8350515463917526,0.9136260564831994,0.9169792471366119
Scala,lang_scala,104,62,65,0.5961538461538461,0.625,0.598545561806569,0.7596153846153846,0.7446236559139785,0.7846153846153846,0.8225806451612904,0.8031496062992126,0.8540706605222735,0.8680212328413544
Julia,lang_julia,0,0,0,,,,,,,,,,
